Signal Name,Point Name,Point Offset,Direction,Data Type,Cimplicity Resource,Scale Enabled,Scale Name,Units,Producer ID,Period (ms),Exchange Name,Exchange Length,Exchange Number,Exchange Revision,Destination,Description
L31\L30SS,EGD0000.0,0.0,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,STATIC START (LCI) ALARM
L31\L3SS_RS,EGD0000.1,0.1,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,STATIC STARTER READY TO START
L31\L4SS_RUN,EGD0000.2,0.2,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,STATIC STARTER RUNNING
L31\LSS_CONNECT,EGD0000.3,0.3,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,
L31\TORQ1,EGD0000.4,0.4,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD TORQ REQUEST 1
L31\TORQ2,EGD0000.5,0.5,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD TORQ REQUEST 2
L31\TORQ3,EGD0000.6,0.6,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD TORQ REQUEST 3
L31\TORQ4,EGD0000.7,0.7,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD TORQ REQUEST 4
L31\L1SBTC,EGD0001.0,1.0,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,52SS Source Breaker Trip Command
L31\L52SSC,EGD0001.1,1.1,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,52SS SOURCE ISOLATOR BREAKER CLOSED
L31\UCOK,EGD0001.2,1.2,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,UNIT CONTROL OK
L31\EGD1_3,EGD0001.3,1.3,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,
L31\EGD1_4,EGD0001.4,1.4,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,
L31\L1SBCC,EGD0001.5,1.5,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,SOURCE BREAKER CLOSE COMMAND - EGD FOR MONITORING
L31\Lan_Diag_B01,EGD0001.6,1.6,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,
L31\G31\L3SST_COM_P,EGD0001.7,1.7,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD COMM BETWEEN LCI AND TCP G1 HEARTBEAT
L31\G2\L3SST_COM_P,EGD0002.0,2.0,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD COMM BETWEEN LCI AND TCP G2 HEARTBEAT
L31\G3\L3SST_COM_P,EGD0002.1,2.1,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD COMM BETWEEN LCI AND TCP G3 HEARTBEAT
L31\G4\L3SST_COM_P,EGD0002.2,2.2,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD COMM BETWEEN LCI AND TCP G4 HEARTBEAT
L31\E31\L3SSE_COM_P,EGD0002.3,2.3,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD COMM BETWEEN LCI AND EXC E1 HEARTBEAT
L31\E2\L3SSE_COM_P,EGD0002.4,2.4,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD COMM BETWEEN LCI AND EXC E2 HEARTBEAT
L31\E3\L3SSE_COM_P,EGD0002.5,2.5,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD COMM BETWEEN LCI AND EXC E3 HEARTBEAT
L31\E4\L3SSE_COM_P,EGD0002.6,2.6,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD COMM BETWEEN LCI AND EXC E4 HEARTBEAT
L31\RUNX,EGD0002.7,2.7,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,RUN INITIATE
L31\RUN1,EGD0003.0,3.0,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,RUN
L31\runrq1_in,EGD0003.1,3.1,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,STATIC START RUN REQUEST 1
L31\runrq2_in,EGD0003.2,3.2,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,STATIC START RUN REQUEST 2
L31\runrq3_in,EGD0003.3,3.3,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,STATIC START RUN REQUEST 3
L31\runrq4_in,EGD0003.4,3.4,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,STATIC START RUN REQUEST 4
L31\NCHFLT,EGD0003.5,3.5,WRITE,BOOL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,NO CHANNEL FAULT
L31\SPDREF1,EGD0004.0,4,WRITE,WORD,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD SPEED REF 1
L31\SPDREF2,EGD0006.0,6,WRITE,WORD,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD SPEED REF 2
L31\SPDREF3,EGD0008.0,8,WRITE,WORD,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD SPEED REF 3
L31\SPDREF4,EGD0010.0,10,WRITE,WORD,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD SPEED REF 4
L31\SPDREF5,EGD0012.0,12,WRITE,WORD,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD SPEED REF 5
L31\LAC_MODE,EGD0014.0,14,WRITE,WORD,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,Static Start Load Firing mode 0-4 for EGD
L31\TL1,EGD0016.0,16,WRITE,WORD,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,Trip History Status #1
L31\SL1,EGD0018.0,18,WRITE,WORD,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,Trip History Status #1
L31\SPDSTP,EGD0020.0,20,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,MOTOR SPEED SETPOINT IN PER UNIT
L31\SPEED,EGD0024.0,24,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,MOTOR SPEED FEEDBACK IN PER UNIT
L31\CURRCMD,EGD0028.0,28,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,MOTOR CURRENT COMMAND IN PER UNIT
L31\CURRENT,EGD0032.0,32,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,MOTOR CURRENT FEEDBACK IN PER UNIT
L31\LA_FMAG,EGD0036.0,36,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,LOAD FLUX MAGNITU IN PER UNIT
L31\ALPH_CD_SRC,EGD0040.0,40,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,SOURCE ALPHA COMMAND IN PER UNIT
L31\ALPH_CD_LD,EGD0044.0,44,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,LOAD ALPHA COMMAND IN PER UNIT
L31\ALPH_CMD_FLD,EGD0048.0,48,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,FIELD  ALPHA COMMAND IN PER UNIT
L31\COOLANT_TEMP,EGD0052.0,52,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,COOLANT TEMPERATURE IN DEG C
L31\LA_VMAG,EGD0056.0,56,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,LOAD VOLTAGE MAGNITUDE IN PER UNIT
L31\SA_VMAG,EGD0060.0,60,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,SOURCE VOLTAGE MAGNITUDE IN PER UNIT
L31\EX_REF_OUT,EGD0064.0,64,WRITE,REAL,L31,Disabled,,,192.168.101.110,50,FDBKS,68,1,10.0,Broadcast to 192.168.101.255,EGD EXCITER REF 1
E31\G31\L3ESS_COM_P,EGD0011.6,11.6,READ,BOOL,E31,Disabled,,,E31,320,E31:G31,60,1,13.0,Broadcast,Heartbeat to LS2100                               
G31\L30COM_L1FLT,EGD0203.6,203.6,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,????? ????? ? ?????????????? ???????????? ????????
G31\L3TSS_COM_P1,EGD0139.4,139.4,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,MKVI to LS2100 Comm Pulses (Heartbeat)            
G31\L4SSRUN,EGD0192.5,192.5,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Static Start Master Control Signal                
G31\L4SSTORQ,EGD0175.4,175.4,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Static Start Make Torque Command                  
G31\lss_pwr,EGD0111.6,111.6,READ,BOOL,,Disabled,,,192.168.101.111,480,G31:EX2,1400,2,165.0,Broadcast,Static starter AC power up                        
G31\SS_REF_OUT,EGD0708.0,708,READ,REAL,,Disabled,PCT,XXX,192.168.101.111,480,G31:EX4,1400,4,165.0,Broadcast,Load Commutated Inv (Static Starter) Speed Ref    
UDH\L31\FDBKS\HEALTHY,EGD0000.1,0.1,READ,BOOL,,Disabled,,,,320,L31:LINK,0,0,1.0,NA - Link Health,
UDH\E31\G31\HEALTHY,EGD0000.2,0.2,READ,BOOL,,Disabled,,,,320,L31:LINK,0,0,1.0,NA - Link Health,
UDH\G31\EX2\HEALTHY,EGD0000.3,0.3,READ,BOOL,,Disabled,,,,320,L31:LINK,0,0,1.0,NA - Link Health,
UDH\G31\EX4\HEALTHY,EGD0000.4,0.4,READ,BOOL,,Disabled,,,,320,L31:LINK,0,0,1.0,NA - Link Health,
